product_category,USD
Carded Items,97443.5799999997
Counterfeit Items,1524696.510000003
Digital Products,1473816.3500000415
Drugs & Chemicals,62460876.54000041
Fraud,1781156.660000003
Guides & Tutorials,140545.76000000004
Jewels & Gold,550318.7099999993
Other Listings,242818.04000000018
Security & Hosting,21546.970000000005
Services,270620.71000000014
Software & Malware,90314.10000000047
